"emp_no","last_name","first_name"
12284,"Khasidashvili","Hatim"
12290,"Braccini","Jeanne"
12291,"Koyama","Masamitsu"
12294,"Heydon","Arch"
12295,"Lammel","Weicheng"
12296,"Garnier","Kendra"
12297,"Krone","Yoshimitsu"
12301,"Akazan","Oksana"
12306,"Menyhert","Suvo"
12318,"Vesna","Jingling"
12321,"Schicker","Heekeun"
12325,"Randt","Alassane"
12330,"Eugenio","Oguz"
12349,"Denos","Yannik"
12358,"Syrotiuk","Achilleas"
12373,"Driscoll","Mooi"
12390,"Kilgour","Kwangsub"
12393,"Uhrig","Soenke"
12398,"Solovay","Arif"
12399,"Luga","Mihalis"
12400,"Winter","Genki"
12411,"Ibel","Shao"
12412,"Peres","Chaitali"
12414,"Kruskal","Kish"
12415,"Sluis","Uri"
12430,"Feldmann","Kristine"
12435,"Gadepally","Marek"
12438,"Mondadori","Yongmao"
12448,"Salverda","Honglan"
12454,"Farris","Kerryn"
12457,"Pettis","Olivera"
12460,"Gerlach","Jingling"
12464,"Milicic","Shai"
12478,"Hopewell","Yahiko"
12491,"Gruenwald","Cullen"
12497,"Penz","Stein"
12499,"Lamba","Izaskun"
12505,"Goldhammer","Barton"
12513,"Vesna","Niteen"
12521,"Ranka","Geoffry"
12523,"Casley","Tonia"
12537,"Gonthier","Avishai"
12541,"Nanard","Shih"
12552,"Zongker","Mechthild"
12560,"Makinen","Leszek"
12565,"Mullainathan","Theron"
12567,"DasSarma","Horward"
12575,"Merel","Sadok"
12582,"Herath","Saniya"
12590,"Rosenbaum","Gita"
12591,"Makrucki","Georgy"
12593,"Melter","Lubomir"
12595,"Morrey","Yaghout"
12598,"Farrow","Hatem"
12605,"Feldmann","Petter"
12612,"Thimonier","Chandrasekaran"
12617,"Rusterholz","Shawna"
12620,"Swick","Shahaf"
12622,"Kobara","Jiafu"
12624,"Zykh","Zhongwei"
12625,"Basart","Goo"
12629,"Siksek","Kensyu"
12640,"Lindqvist","Shigeo"
12645,"Decaestecker","Kyoichi"
12651,"Bael","Pragnesh"
12656,"Morton","Seshu"
12658,"Farris","Laurentiu"
12660,"Escriba","Stamatina"
12664,"Parveen","Zhonghua"
12673,"Rajala","Jouni"
12675,"Krohm","Dekang"
12681,"Akaboshi","Rosalyn"
12685,"Openshaw","Siamak"
12687,"Badache","Weicheng"
12690,"Mitchem","Valter"
12698,"Paciorek","Arunas"
12699,"Setia","Izaskun"
12703,"Brookner","Luigi"
12704,"Tetzlaff","Gino"
12705,"Driscoll","Dung"
12707,"Zastre","Gregory"
12708,"Syang","Hatem"
12716,"Theuretzbacher","Angel"
12720,"Blokdijk","Spyrose"
12724,"Lammel","Parke"
12732,"Takanami","Mara"
12742,"Bhattacharjee","Supot"
12756,"Braccini","Mohit"
12759,"Kuszyk","LiMin"
12761,"Schaad","Hitofumi"
12766,"Molberg","Shuji"
12770,"Benzaken","Maik"
12777,"Cichocki","Sreenivas"
12781,"Belinskaya","Bogdan"
12790,"Perl","Gunilla"
12798,"Beeson","Lillian"
12800,"Hettesheimer","Tiina"
12803,"Boissier","Gad"
12805,"Itschner","Naraig"
12818,"Wendorf","Arunas"
12826,"Mandell","Claude"
12834,"Krohm","Tadahiro"
12845,"Baar","Florian"
12858,"Driscoll","Jianwen"
12862,"Mullainathan","Hidde"
12870,"Pfau","Elvis"
12872,"Schmittgen","Marl"
12873,"Lorie","Xiaoshan"
12875,"Validov","Giri"
12880,"Setia","Fumiya"
12881,"Yurek","Huai"
12886,"Liesche","Aimee"
12890,"Casley","Neven"
12893,"Crouzet","Licheng"
12894,"Stafford","Heng"
12902,"Perng","Rimli"
12903,"Salverda","Radhika"
12909,"Lamba","Dipankar"
12915,"Ligten","Arco"
12917,"Remmele","Sergi"
12919,"Cooley","Owen"
12922,"Porenta","Jacqueline"
12931,"Hutton","Spyrose"
12943,"Zucker","Kazuhide"
12951,"Keirsey","Mohammad"
12954,"Walston","Dinkar"
12955,"England","Eckart"
12962,"Beerel","Paraskevi"
12964,"Bennis","Hidefumi"
12969,"Angot","Mohan"
12974,"Frolund","Gift"
12976,"Szmurlo","Alejandro"
12985,"Hellwagner","Yoshimitsu"
12993,"Sessa","Subhash"
12996,"Madeira","Khalil"
13007,"Frolund","Yagil"
13018,"Moehrke","Toshimi"
13028,"Siksek","Mayumi"
13033,"Jansen","Satoru"
13034,"Rosen","Arunas"
13035,"Isaac","Waiman"
13036,"Heystek","Idoia"
13037,"Schaad","Alagu"
13043,"Kobuchi","Keiichiro"
13056,"Zirintsis","Arvind"
13065,"Schiper","Zine"
13073,"Journel","Utpal"
13075,"Morrin","Rosella"
13081,"Bahi","Mandell"
13083,"Wilfing","Marek"
13093,"Unno","Sajjan"
13112,"Pouyioutas","Hiroyasu"
13115,"Comellas","Jianhua"
13117,"Masand","Arve"
13124,"Garnick","Quingbo"
13142,"Kowalchuk","Sanjiv"
13146,"Erie","Haldon"
13147,"Ginesta","Shichao"
13154,"Soicher","Shan"
13158,"Kilgore","Deborah"
13162,"Goodrum","Shaw"
13169,"Hasham","Fun"
13172,"Whittlesey","Mountaz"
13173,"Horswill","Arve"
13176,"Thiria","Pranas"
13178,"Itschner","Kankanahalli"
13179,"Janocha","Moty"
13186,"Barbanera","Kyoichi"
13187,"Pusterhofer","Maria"
13201,"Ranta","Tomofumi"
13205,"Breugel","Maja"
13210,"Klassen","Jianhua"
13212,"Boyle","Thodoros"
13213,"Billawala","Hein"
13223,"Rabejac","Koldo"
13227,"Pell","Goncalo"
13236,"Axelband","Flemming"
13238,"Foote","Ebru"
13241,"Narahari","Uta"
13243,"Huxford","Fay"
13246,"Siepmann","Adil"
13248,"Guting","Keiichiro"
13249,"Rissland","Oldrich"
13259,"Dredge","Cheong"
13261,"Peternell","Martial"
13264,"Hofting","Oguz"
13268,"Yurov","Munehiro"
13292,"Alpin","Bokyung"
13293,"Yurov","Neelam"
13303,"Rissanen","Koldo"
13305,"Herath","Bikash"
13308,"Melter","Demin"
13329,"Rissland","Ottavia"
13335,"Akaboshi","Val"
13345,"Basart","Hatsukazu"
13349,"Danner","Zeydy"
13367,"Swiler","Xumin"
13372,"Staudhammer","Valeri"
13384,"Ghemri","Nectarios"
13387,"Tzvieli","Froduald"
13392,"Beidas","Fumitake"
13403,"Diderrich","Toney"
13404,"Halevi","Luerbio"
13405,"Baba","Randy"
13410,"Rebaine","Tremaine"
13413,"Iivonen","Sanjit"
13414,"Hofstetter","Nevio"
13417,"Condotta","Dipayan"
13419,"Leivant","Bouchung"
13423,"Chartres","Giri"
13427,"Narwekar","Sreekrishna"
13428,"Kalloufi","Sanjai"
13431,"Sidje","Danco"
13432,"Armand","Masadi"
13436,"Picaronny","Mana"
13447,"Lortz","Yucel"
13449,"Coorg","Subhada"
13466,"Yoshizawa","LiMin"
13475,"Piancastelli","Kamakshi"
13477,"Karlin","Reuven"
13479,"Besselaar","Youjian"
13489,"Itschner","Fumino"
13491,"Halevi","Xiaocheng"
13496,"Lortz","Dipankar"
13498,"Delaune","Mohammad"
13501,"Peek","Caolyn"
13503,"Milicia","Renee"
13513,"Kitsuregawa","Atilio"
13515,"Kisuki","Sachin"
13519,"Cardazo","Kristin"
13524,"Porotnikoff","Chaoyi"
13528,"Liesche","Fumitaka"
13529,"Matzen","Toshimori"
13540,"Krohn","Cordelia"
13542,"Budinsky","Fun"
13543,"Garigliano","Tua"
13544,"Sullins","Beshir"
13551,"Ducloy","Shuichi"
13553,"Cusworth","Masato"
13555,"Matteis","Lijia"
13559,"Yurek","Etsuo"
13564,"Manderick","Jongsuk"
13577,"Penttonen","Tianruo"
13588,"Dahlbom","Xuejia"
13599,"Versino","Gor"
13602,"Bazelow","Kirk"
13604,"Stille","Tzu"
13605,"Encarnacion","Dmitry"
13606,"Feldmann","Tuval"
13607,"Rusmann","Khedija"
13608,"Ducloy","Charmane"
13618,"Ferretti","Xiaoqiang"
13622,"Juneja","Tamiya"
13632,"Brattka","Teiji"
13650,"Chepyzhov","Shaowei"
13656,"Ferretti","Oldrich"
13660,"McConalogue","Ziya"
13661,"Kobara","Marsal"
13672,"Desikan","Tremaine"
13676,"Avouris","Gadiel"
13680,"Speer","Denny"
13684,"Christ","Elvia"
13690,"Osgood","Constantino"
13691,"Schnelling","Sandeepan"
13692,"Kisuki","Yongdong"
13700,"Weedon","Mingdong"
13709,"Brendel","Mamdouh"
13715,"Range","Licheng"
13718,"Gronowski","Lein"
13720,"Braccini","Rildo"
13721,"Delgrossi","Sugwoo"
13723,"Schnelling","Magy"
13736,"Albarhamtoshy","Pranas"
13747,"Capobianchi","Masaru"
13752,"Otillio","Kwangho"
13754,"Bahr","Jongsuk"
13758,"Sidou","Subhrajyoti"
13762,"Choobineh","Fumino"
13763,"Tsukune","Etsuo"
13764,"Usery","Demin"
13769,"Trogemann","Yakichi"
13770,"Koyama","Eirik"
13775,"Maierhofer","Arve"
13784,"Ranst","Surveyors"
13785,"Legleitner","Shietung"
13786,"Berendt","Takushi"
13790,"DiGiano","Hongzue"
13801,"Mayerwieser","Shih"
13805,"Veldwijk","Barry"
13808,"Stentiford","Becky"
13812,"Sury","Fumiko"
13836,"Przulj","Taiji"
13845,"Ritcey","Alejandro"
13848,"Wallrath","Jianhao"
13856,"Conta","Xiping"
13863,"Baig","Reinhard"
13865,"Peir","Junsik"
13866,"Fargier","Macha"
13871,"Plavsic","Anoosh"
13878,"Eiron","Shigeaki"
13891,"Parascandalo","Mokhtar"
13898,"Hiroyama","Oguz"
13902,"Kilgore","Greger"
13909,"Leslie","Szabolcs"
13916,"Wynblatt","Vidya"
13928,"Nitta","Mahmut"
13930,"Chartres","Sukumar"
13941,"Schapire","IEEE"
13943,"Plump","Maya"
13947,"Nishimukai","Gal"
13949,"Perna","Fai"
13951,"Genther","Mooi"
13975,"Peternell","Jamaludin"
13978,"Bardell","Mayuko"
13983,"Siepmann","Sarita"
13986,"Ramsey","Geraldo"
13993,"Marciano","Troy"
13994,"Remmele","Tesuro"
14000,"Engberts","Falguni"
14009,"Greibach","Snehasis"
14189,"Tsukuda","Nahla"
14197,"Chachaty","Adin"
14200,"Sankaranarayanan","Masali"
14221,"Maginnis","Zhiwei"
14238,"Puoti","Barton"
14241,"Ranze","Zhonghui"
14252,"Fargier","Weiyi"
14264,"Dulin","Marco"
14273,"Benveniste","Atreye"
14275,"Aseltine","Tristan"
14278,"Schapiro","Kazuhiro"
14282,"Aumann","Claudi"
14310,"Leuchs","Marlo"
14315,"Standera","Baocai"
14325,"Lampe","Qingxiang"
14343,"Rotem","Pranav"
14354,"Bojadziev","Mong"
14357,"Siegrist","Maria"
14359,"Leslie","Henk"
14364,"Lund","Remzi"
14366,"Laventhal","Gererd"
14373,"Perry","Khosrow"
14375,"Eickenmeyer","Tokuyasu"
14381,"Weedon","Danco"
14382,"Sichman","Zhigen"
14387,"Sanella","Guozhong"
14396,"Gubsky","Charmane"
14397,"Hardjono","Feixiong"
14404,"Beetstra","Sariel"
14025,"Takanami","Stevo"
14409,"Pettis","Uta"
14028,"Sury","Itzchak"
14413,"Masand","Shim"
14036,"Schaad","Bogdan"
14428,"McFarlan","Zorica"
14429,"Koblick","Marek"
14050,"Botman","Duangkaew"
14432,"Kalloufi","Tomoyuki"
14442,"Koprowski","Qunsheng"
14054,"Borstler","Babette"
14443,"Barriga","Kinh"
14454,"Ananiadou","Gita"
14065,"Stanger","Bikash"
14461,"Hitomi","Weicheng"
14465,"Mitzlaff","Sajjan"
14066,"Marrakchi","Gennadi"
14468,"Ertl","Unal"
14071,"Manderick","Tristan"
14472,"Leuchs","Chinho"
14478,"Boissier","Munehiro"
14081,"Fontet","Alain"
14480,"Crabtree","Irena"
14082,"Krychniak","Siddarth"
14487,"Molenkamp","Jungsoon"
14508,"Babu","Shahid"
14086,"Syrotiuk","Willard"
14513,"Barreiro","Samphel"
14516,"Underwood","Kristian"
14519,"Usery","Xiong"
14095,"Underwood","Tonia"
14523,"Busillo","Leif"
14105,"Orlowski","Ramachenga"
14524,"Trogemann","Nobuyoshi"
14108,"Khasidashvili","Shmuel"
14527,"Kroha","Arne"
14119,"Georgakopoulos","Katsuo"
14528,"Bondorf","Poornachandra"
14122,"Erde","Masato"
14538,"Krone","Itzchak"
14541,"Terwilliger","Suebskul"
14544,"Janetzko","Licheng"
14125,"Ertl","Taisook"
14549,"Kopetz","Alain"
14550,"Kriebel","Mechthild"
14142,"Beausoleil","Macha"
14551,"Sinitsyn","Richard"
14156,"Kading","Emdad"
14553,"Selvestrel","Uri"
14562,"Peroz","Shunichi"
14158,"Setiz","Caolyn"
14575,"Anick","Aluzio"
14160,"Hofting","Shaowen"
14591,"Akiyama","Martijn"
14172,"Nitsch","Vasilis"
14595,"Demian","Margareta"
14176,"Thiran","Seshu"
14597,"Ritcey","Aloke"
14604,"Hammerschmidt","Paloma"
14179,"Emiris","Sverrir"
14607,"Selvestrel","Suzette"
14610,"Merle","Lijia"
14181,"Gecsel","Persi"
14611,"Coors","Marsja"
14618,"Brlek","Cedric"
14182,"Encarnacion","Abdulla"
14621,"Wixon","Souichi"
14184,"Barvinok","Nalini"
14628,"Vandervoorde","Pranjal"
14187,"Peot","Susuma"
14639,"Hempstead","Arvind"
14644,"Oxman","Yefim"
14648,"Lorys","IEEE"
14657,"Casperson","Saddek"
14705,"Leonhardt","Stella"
14658,"Morton","Mohd"
14706,"Guting","Hatem"
14662,"Maquelin","Maya"
14665,"Brlek","Honesty"
14707,"Barreiro","Dung"
14673,"Pusterhofer","Dinkar"
14676,"Zedlitz","Bikash"
14715,"Knightly","Chuanyi"
14684,"Przulj","Jayesh"
14721,"Vanwelkenhuysen","Jordanka"
14685,"Kawashimo","Deborah"
14735,"Kavanagh","Hisao"
14686,"Deville","Oldrich"
14736,"Bala","Martial"
14863,"Yavatkar","Achilleas"
14737,"Impagliazzo","Houman"
14742,"Renear","Hairong"
14864,"Hebert","Yannis"
14865,"Serra","Ute"
14747,"Leppanen","Toong"
14871,"Kaiserswerth","Arnd"
14881,"Mateescu","Demos"
14758,"Bolsens","Adin"
14882,"Matzen","Malu"
14761,"Rettelbach","Yunming"
14886,"Krupka","Takahira"
14767,"Merle","Jianhua"
14888,"Barriga","Temple"
14889,"Solovay","Subhash"
14778,"Trystram","Bernd"
14891,"Smeets","Lalit"
14783,"Fasbender","Gennadi"
14894,"Picaronny","Achilleas"
14787,"Poujol","Irene"
14898,"Jakobus","Gurbir"
14805,"Ramalingam","Elliott"
14899,"Casley","Alejandro"
14807,"Zweizig","Miquel"
14903,"Poehlman","Shalesh"
14813,"Alpin","Naftali"
14904,"Ouhyoung","Chaitali"
14907,"Luga","Nakhoon"
14937,"Angot","Duke"
14826,"Radivojevic","Pohua"
14827,"Lortz","Wuxu"
14830,"Trachtenberg","Tsz"
14957,"Munke","Turgut"
14836,"Paludetto","Chiradeep"
14958,"Beausoleil","Prasadram"
